Wall time,Step,Value
1656935210.420154,165,0.897736132144928
1656935283.9791903,166,0.904744565486908
1656935357.2744215,167,0.9086983799934387
1656935430.7351563,168,0.9132460355758667
1656935504.059559,169,0.9114809632301331
1656935577.4418516,170,0.9161972403526306
1656935651.4559636,171,0.914681613445282
1656935725.0985339,172,0.9035654664039612
1656935798.752575,173,0.9114810824394226
1656935872.556343,174,0.9145839810371399
1656935946.0655842,175,0.913013756275177
1656936020.0270097,176,0.9083951115608215
1656936094.193122,177,0.9217156171798706
1656936168.0088408,178,0.9243218898773193
1656936241.4951487,179,0.9213651418685913
1656936315.1115475,180,0.9251152276992798
1656936388.2852929,181,0.9183964729309082
1656936462.181841,182,0.9175174832344055
1656936535.8455358,183,0.9271906614303589
1656936609.5687203,184,0.916189968585968
1656936682.904019,185,0.9197044372558594
1656936756.443979,186,0.9176754951477051
1656936829.7182553,187,0.9270144701004028
1656936903.4519083,188,0.9286129474639893
1656936977.0296795,189,0.9354570508003235
1656937050.9852626,190,0.9223384261131287
1656937124.722366,191,0.9323535561561584
1656937198.3023121,192,0.9280243515968323
1656937272.0880902,193,0.9296453595161438
1656937345.5394738,194,0.9235515594482422
1656937418.9712653,195,0.9264405369758606
1656937492.4100192,196,0.9329754114151001
1656937565.7616231,197,0.9310328364372253
1656937639.1587417,198,0.9267459511756897
1656937712.8502796,199,0.9295274615287781
1656937786.5337856,200,0.9335470199584961
1656937859.7218893,201,0.9326903223991394
1656937933.4503808,202,0.9384074807167053
1656938007.3542407,203,0.928604781627655
1656938080.565005,204,0.9409881234169006
1656938153.8686187,205,0.9495118856430054
1656938226.956123,206,0.9404820203781128
1656938300.312079,207,0.945115327835083
1656938373.9917424,208,0.940901517868042
1656938448.0837169,209,0.9424134492874146
1656938521.5638833,210,0.9388525485992432
1656938595.2213423,211,0.9418534636497498
1656938668.820941,212,0.944969892501831
1656938742.5066154,213,0.9483484029769897
1656938816.2987943,214,0.9481309056282043
1656938889.7872446,215,0.9481167793273926
1656938963.6070487,216,0.9462019205093384
1656939037.3963797,217,0.9528939127922058
1656939110.715838,218,0.9553008675575256
1656939183.9664438,219,0.9557092785835266
1656939257.3480427,220,0.948409914970398
1656939330.95754,221,0.9508970975875854
1656939404.5505638,222,0.9562475085258484
1656939478.1189992,223,0.9474908709526062
1656939551.6183884,224,0.9526019096374512
1656939625.3382792,225,0.9570728540420532
1656939698.7216437,226,0.9561699628829956
1656939772.4705777,227,0.9558840394020081
1656939846.4696307,228,0.9553008079528809
1656939920.3298876,229,0.96010422706604
1656939993.7850528,230,0.9604753851890564
1656940067.4297667,231,0.963753879070282
1656940140.8646011,232,0.9656974673271179
1656940214.0947752,233,0.9617047309875488
1656940287.9831152,234,0.961053192615509
1656940361.514486,235,0.9645848274230957
1656940434.978957,236,0.9629364609718323
1656940508.4541845,237,0.9618624448776245
1656940582.5596597,238,0.9649154543876648
1656940655.8631752,239,0.9661646485328674
1656940729.268851,240,0.9671878218650818
1656940802.713138,241,0.9664996266365051
1656940876.328899,242,0.9687870144844055
1656940949.7850587,243,0.9668030142784119
1656941022.9337118,244,0.9708764553070068
1656941096.4254515,245,0.9713796973228455
1656941170.4507804,246,0.9699386954307556
1656941244.1004598,247,0.9705166816711426
1656941317.8720489,248,0.9696606397628784
1656941391.4143853,249,0.971845805644989
1656941464.9636576,250,0.9711529612541199
1656941538.705277,251,0.9727488160133362
1656941611.893431,252,0.9727134704589844
1656941685.4708784,253,0.9771173596382141
1656941759.2792122,254,0.9748242497444153
1656941832.8831167,255,0.9779587984085083
1656941906.8099728,256,0.974855363368988
1656941980.1386292,257,0.9777777791023254
1656942053.9594622,258,0.9749725461006165
1656942127.5568526,259,0.9762788414955139
1656942201.1328335,260,0.9774592518806458
1656942274.8854582,261,0.9809361696243286
1656942348.4406013,262,0.9766445755958557
1656942421.6819968,263,0.9786686301231384
1656942495.092035,264,0.9805829524993896
1656942568.872181,265,0.9844337105751038
1656942642.4569805,266,0.9832754731178284
1656942716.4085104,267,0.9803701043128967
1656942790.1788437,268,0.9809121489524841
1656942863.7587876,269,0.9839370846748352
1656942937.6664908,270,0.9834911823272705
1656943011.2294936,271,0.985510528087616
1656943084.8536115,272,0.9859943389892578
1656943158.321621,273,0.9834437966346741
1656943231.8384376,274,0.9851363301277161
1656943305.327637,275,0.9853951334953308
1656943378.6036818,276,0.986208438873291
1656943452.0245414,277,0.9851656556129456
1656943525.7405577,278,0.9905087947845459
1656943598.90442,279,0.9856101274490356
1656943672.690606,280,0.9875470995903015
1656943746.1853604,281,0.9881694912910461
1656943819.7457387,282,0.9877153635025024
1656943893.170473,283,0.9909955263137817
1656943966.42946,284,0.9905233979225159
1656944040.3004513,285,0.9905408620834351
1656944114.367736,286,0.9862959980964661
1656944188.1766703,287,0.9918684959411621
1656944261.3886414,288,0.9912221431732178
1656944335.4085822,289,0.99134761095047
1656944409.194722,290,0.9907510876655579
1656944482.7568316,291,0.9924321174621582
1656944556.3101673,292,0.9926155805587769
1656944629.7829227,293,0.9907394051551819
1656944703.4530964,294,0.9921262264251709
1656944777.2149463,295,0.9936206340789795
1656944851.0819187,296,0.9893654584884644
1656944924.5982661,297,0.9911403656005859
1656944998.1868863,298,0.9921866655349731
1656945072.0451388,299,0.9925903081893921
1656945145.9609752,300,0.9927849173545837
1656945219.412404,301,0.9917381405830383
1656945292.4436812,302,0.9919306635856628
1656945366.335042,303,0.9922113418579102
1656945439.9458542,304,0.9943401217460632
1656945513.774858,305,0.9916766285896301
1656945588.223553,306,0.9950647950172424
1656945661.9093442,307,0.9928027987480164
1656945735.9309218,308,0.9957946538925171
1656945809.6339734,309,0.9947729706764221
1656945883.5302336,310,0.9947032332420349
1656945957.2795887,311,0.9945839643478394
1656946031.466847,312,0.9927425980567932
1656946105.2778313,313,0.9947666525840759
1656946179.2060664,314,0.9954521656036377
1656946252.6078699,315,0.9936262965202332
1656946326.5210001,316,0.9956839084625244
1656946399.8579695,317,0.9942494034767151
1656946473.12035,318,0.9954167604446411
1656946546.851234,319,0.9963738322257996
1656946620.268817,320,0.9965613484382629
1656946694.2062318,321,0.9966524839401245
1656946767.9471912,322,0.9948788285255432
1656946841.4381266,323,0.99457186460495
1656946915.0334039,324,0.9966626167297363
1656946988.7143338,325,0.9966514706611633
1656947062.4885485,326,0.995662271976471
1656947136.5508115,327,0.9969156384468079
1656947210.5611746,328,0.9962539076805115
1656947284.1396184,329,0.9963275194168091
1656947357.608002,330,0.9969722032546997
1656947430.8141544,331,0.9967875480651855
1656947504.5913494,332,0.9943621158599854
1656947577.8602474,333,0.9956808090209961
1656947651.9397626,334,0.997649073600769
1656947725.9487705,335,0.9967713952064514
1656947800.0489511,336,0.9958215355873108
1656947873.815824,337,0.9982401132583618
1656947947.596792,338,0.9969571828842163
1656948020.8815265,339,0.9980810284614563
1656948094.624884,340,0.9981191754341125
1656948168.1582124,341,0.9966021180152893
1656948242.1859996,342,0.9974151849746704
1656948315.83152,343,0.996391236782074
1656948389.2887647,344,0.9973010420799255
1656948463.096919,345,0.9969834685325623
1656948536.7339835,346,0.9960917830467224
1656948611.0845551,347,0.9977147579193115
1656948684.4908624,348,0.9947147965431213
1656948758.122126,349,0.9970759749412537
1656948831.529961,350,0.9970987439155579
